date,close,min,max,open,volume,close/usd,min/usd,max/usd,open/usd,day,month,year,is_quarter_end
2021-02-01,12.01,12.01,12.25,12.11,698270099,1.6607896010509577,1.6607896010509577,1.6607896010509577,1.6607896010509577,1,2,2021,0
2021-02-02,12.06,12.06,12.32,12.17,1022520339,1.6866896966475993,1.6866896966475993,1.6866896966475993,1.6866896966475993,2,2,2021,0
2021-02-03,12.15,12.06,12.22,12.14,697147084,1.696287712734025,1.696287712734025,1.696287712734025,1.696287712734025,3,2,2021,0
2021-02-04,12.2,12.14,12.29,12.21,685498137,1.7074160637062124,1.7074160637062124,1.7074160637062124,1.7074160637062124,4,2,2021,0
2021-02-05,12.16,12.16,12.47,12.32,965861098,1.7146805420421054,1.7146805420421054,1.7146805420421054,1.7146805420421054,5,2,2021,0
2021-02-08,12.15,12.02,12.29,12.15,621234382,1.716319871170064,1.716319871170064,1.716319871170064,1.716319871170064,8,2,2021,0
2021-02-09,12.17,12.13,12.34,12.23,794868214,1.7153166358933882,1.7153166358933882,1.7153166358933882,1.7153166358933882,9,2,2021,0
2021-02-10,12.21,12.14,12.3,12.23,714103133,1.7284824462061157,1.7284824462061157,1.7284824462061157,1.7284824462061157,10,2,2021,0
2021-02-11,12.15,12.14,12.26,12.19,481750599,1.7226467794303215,1.7226467794303215,1.7226467794303215,1.7226467794303215,11,2,2021,0
2021-02-12,12.0,11.97,12.16,12.06,455630304,1.7072615524698382,1.7072615524698382,1.7072615524698382,1.7072615524698382,12,2,2021,0
2021-02-15,12.4,12.13,12.43,12.31,1300825788,1.7752326413743735,1.7752326413743735,1.7752326413743735,1.7752326413743735,15,2,2021,0
2021-02-16,12.18,12.1,12.46,12.28,782041560,1.7582100324792493,1.7582100324792493,1.7582100324792493,1.7582100324792493,16,2,2021,0
2021-02-17,12.2,12.12,12.43,12.28,818240578,1.7387090797668419,1.7387090797668419,1.7387090797668419,1.7387090797668419,17,2,2021,0
2021-02-18,12.27,12.23,12.63,12.44,1598832116,1.7616148854304254,1.7616148854304254,1.7616148854304254,1.7616148854304254,18,2,2021,0
2021-02-19,12.3,12.12,12.31,12.21,865152747,1.7637948835608581,1.7637948835608581,1.7637948835608581,1.7637948835608581,19,2,2021,0
2021-02-22,12.64,12.32,12.77,12.58,1901073778,1.8040133588331004,1.8040133588331004,1.8040133588331004,1.8040133588331004,22,2,2021,0
