date,close,min,max,open,volume,Sermaye(mn TL),USDTRY,BIST 100,PiyasaDeğeri(mn TL),PiyasaDeğeri(mn USD),HalkaAçık PD(mn TL),HalkaAçık PD(mn USD)
01-02-2021,12.01,12.01,12.25,12.11,698270099,1380,7.2315,1492,16574,2292,8333,1152
02-02-2021,12.06,12.06,12.32,12.17,1022520339,1380,7.1501,1511,16643,2328,8368,1170
03-02-2021,12.15,12.06,12.22,12.14,697147084,1380,7.1627,1534,16767,2341,8430,1177
04-02-2021,12.2,12.14,12.29,12.21,685498137,1380,7.1453,1535,16836,2356,8465,1185
05-02-2021,12.16,12.16,12.47,12.32,965861098,1380,7.0917,1527,16781,2366,8437,1190
08-02-2021,12.15,12.02,12.29,12.15,621234382,1380,7.0791,1535,16767,2369,8430,1191
09-02-2021,12.17,12.13,12.34,12.23,794868214,1380,7.0949,1544,16795,2367,8444,1190
10-02-2021,12.21,12.14,12.3,12.23,714103133,1380,7.064,1547,16850,2385,8472,1199
11-02-2021,12.15,12.14,12.26,12.19,481750599,1380,7.0531,1546,16767,2377,8430,1195
12-02-2021,12,11.97,12.16,12.06,455630304,1380,7.0288,1538,16560,2356,8326,1185
15-02-2021,12.4,12.13,12.43,12.31,1300825788,1380,6.985,1562,17112,2450,8604,1232
16-02-2021,12.18,12.1,12.46,12.28,782041560,1380,6.9275,1543,16808,2426,8451,1220
17-02-2021,12.2,12.12,12.43,12.28,818240578,1380,7.0167,1541,16836,2399,8465,1206
18-02-2021,12.27,12.23,12.63,12.44,1598832116,1380,6.9652,1546,16933,2431,8514,1222
19-02-2021,12.3,12.12,12.31,12.21,865152747,1380,6.9736,1560,16974,2434,8535,1224
22-02-2021,12.64,12.32,12.77,12.58,1901073778,1380,7.0066,1551,17443,2490,8770,1252
23-02-2021,13.02,12.47,13.34,12.9,3553225812,1380,7.038,1518,17968,2553,9034,1284
24-02-2021,12.83,12.76,13.15,12.97,2312668875,1380,7.1485,1483,17705,2477,8902,1245
25-02-2021,13.39,12.9,13.45,13.19,2767999675,1380,7.2054,1488,18478,2564,9291,1289
26-02-2021,13.49,13.02,13.61,13.38,2491241238,1380,7.3841,1471,18616,2521,9360,1268
01-03-2021,13.8,13.58,13.92,13.78,1786311865,1380,7.316,1527,19044,2603,9575,1309
02-03-2021,14.81,13.75,15.07,14.68,5371625981,1380,7.3248,1529,20438,2790,10276,1403
03-03-2021,14.92,14.61,15.13,14.89,4030435091,1380,7.3524,1531,20590,2800,10352,1408
04-03-2021,14.72,14.66,15.17,14.96,2747824844,1380,7.4659,1538,20314,2721,10214,1368
05-03-2021,14.78,14.51,14.91,14.72,1328410762,1380,7.5231,1542,20396,2711,10255,1363
08-03-2021,14.65,14.58,14.88,14.73,1296760801,1380,7.6075,1530,20217,2658,10165,1336
09-03-2021,15.02,14.71,15.11,14.95,1841430414,1380,7.654,1549,20728,2708,10422,1362
10-03-2021,14.9,14.84,15.02,14.93,851664050,1380,7.6088,1565,20562,2702,10339,1359
11-03-2021,14.75,14.43,15.01,14.77,951489954,1380,7.4581,1556,20355,2729,10234,1372
12-03-2021,14.5,14.5,14.8,14.63,680596039,1380,7.5846,1557,20010,2638,10061,1327
15-03-2021,14.69,14.44,14.83,14.67,987076778,1380,7.551,1555,20272,2685,10193,1350
16-03-2021,14.74,14.63,14.87,14.72,950732604,1380,7.5176,1570,20341,2706,10228,1360
17-03-2021,14.55,14.53,14.92,14.72,1311067829,1380,7.5115,1562,20079,2673,10096,1344
18-03-2021,13.94,13.91,14.62,14.21,1337789701,1380,7.4708,1551,19237,2575,9674,1295
19-03-2021,13.79,13.57,14.27,13.94,1531787835,1380,7.2801,1529,19030,2614,9570,1315
22-03-2021,12.42,12.42,13.07,12.53,703776966,1380,7.9182,1379,17140,2165,8620,1089
23-03-2021,12.21,11.2,12.57,12.07,1090465721,1380,7.8222,1377,16850,2154,8474,1083
24-03-2021,13.01,12.21,13.01,12.6,834723000,1380,7.9809,1414,17954,2250,9029,1131
25-03-2021,12.67,12.63,13.25,12.95,1006407995,1380,7.9552,1394,17485,2198,8793,1105
26-03-2021,12.66,12.35,12.98,12.7,694800248,1380,8.0037,1382,17471,2183,8786,1098
29-03-2021,12.48,12.37,12.66,12.5,488746012,1380,8.1338,1393,17222,2117,8661,1065
30-03-2021,12.71,12.39,12.86,12.6,905929283,1380,8.341,1396,17540,2103,8821,1058
31-03-2021,12.75,12.54,12.76,12.66,595326461,1380,8.3408,1392,17595,2110,8849,1061
01-04-2021,13,12.75,13,12.88,529476700,1380,8.1854,1427,17940,2192,9022,1102
02-04-2021,12.91,12.83,13.1,12.97,370185735,1380,8.0506,1430,17816,2213,8960,1113
05-04-2021,13.06,12.84,13.08,12.98,476594850,1380,8.154,1442,18023,2210,9064,1112
06-04-2021,12.76,12.76,13.14,12.98,586646776,1380,8.1588,1421,17609,2158,8855,1085
07-04-2021,12.85,12.76,13.06,12.88,881633567,1380,8.1836,1418,17733,2167,8918,1090
08-04-2021,12.53,12.52,12.91,12.67,632852403,1380,8.1665,1417,17291,2117,8696,1065
09-04-2021,11.94,11.91,12.53,12.17,693973594,1380,8.153,1393,16477,2021,8286,1016
12-04-2021,11.97,11.62,12.09,11.88,568334181,1380,8.1828,1376,16519,2019,8307,1015
13-04-2021,11.93,11.55,11.95,11.72,722332508,1380,8.153,1378,16463,2019,8279,1016
14-04-2021,11.93,11.87,12.19,12,446344990,1380,8.0875,1409,16463,2036,8279,1024
15-04-2021,11.9,11.77,12.07,11.92,622657386,1380,8.0712,1408,16422,2035,8259,1023
16-04-2021,11.65,11.65,11.99,11.82,490556890,1380,8.0719,1408,16077,1992,8085,1002
19-04-2021,11.6,11.55,11.79,11.7,455732319,1380,8.0659,1377,16008,1985,8050,998
20-04-2021,11.16,11.15,11.64,11.33,473831862,1380,8.1157,1365,15401,1898,7693,948
21-04-2021,10.9,10.72,11.23,10.98,587196749,1380,8.158,1330,15042,1844,7513,921
22-04-2021,11.27,10.72,11.27,11.05,617850885,1380,8.2843,1345,15553,1877,7769,938
26-04-2021,11.73,11.27,11.82,11.6,1107773087,1380,8.3445,1374,16187,1940,8086,969
27-04-2021,11.93,11.57,12.16,11.98,1159901182,1380,8.2458,1392,16463,1997,8223,997
28-04-2021,12.01,11.85,12.09,11.96,671017094,1380,8.2008,1386,16574,2021,8279,1009
29-04-2021,11.98,11.89,12.07,11.96,373995890,1380,8.19,1402,16532,2019,8258,1008
30-04-2021,12.23,11.95,12.33,12.19,945732100,1380,8.2459,1398,16877,2047,8430,1022
03-05-2021,12.92,12.3,12.95,12.68,1256572058,1380,8.3069,1421,17830,2146,8906,1072
04-05-2021,12.62,12.62,13.09,12.76,1317476888,1380,8.3241,1416,17416,2092,8699,1045
05-05-2021,12.6,12.45,12.71,12.59,740161095,1380,8.355,1420,17388,2081,8685,1040
06-05-2021,12.93,12.6,12.97,12.85,1164874516,1380,8.3211,1428,17843,2144,8913,1071
07-05-2021,12.99,12.81,13.05,12.93,651725439,1380,8.2879,1441,17926,2163,9060,1093
10-05-2021,13.37,13.14,13.39,13.26,1222702786,1380,8.2605,1461,18451,2234,9325,1129
11-05-2021,13.35,13.15,13.49,13.36,1016120480,1380,8.3016,1445,18423,2219,9311,1122
12-05-2021,13.39,13.07,13.43,13.26,730730948,1380,8.3016,1441,18478,2226,9339,1125
17-05-2021,13.36,13.35,13.56,13.45,744055888,1380,8.3619,1454,18437,2205,9318,1114
18-05-2021,13.35,13.14,13.44,13.28,1029555073,1380,8.3431,1460,18423,2208,9311,1116
20-05-2021,13.58,13.25,13.71,13.55,1531538784,1380,8.384,1450,18740,2235,9471,1130
21-05-2021,13.49,13.46,13.7,13.58,716478987,1380,8.3705,1452,18616,2224,9409,1124
24-05-2021,13.47,13.46,13.62,13.53,551220767,1380,8.3962,1452,18589,2214,9395,1119
25-05-2021,12.9,12.9,13.55,13.25,952744378,1380,8.4098,1400,17802,2117,8997,1070
26-05-2021,13.05,12.72,13.17,12.98,1132503875,1380,8.4482,1427,18009,2132,9102,1077
27-05-2021,13.05,13.02,13.48,13.22,2250923769,1380,8.4475,1415,18009,2132,9102,1077
28-05-2021,12.98,12.78,13.13,12.93,1113234119,1380,8.5651,1422,17912,2091,9053,1057
31-05-2021,13.32,13.06,13.38,13.28,1588355510,1380,8.5143,1420,18382,2159,9290,1091
01-06-2021,13.49,13.1,13.53,13.3,1279989953,1380,8.5185,1432,18616,2185,9409,1104
02-06-2021,13.65,13.36,13.77,13.63,1526217664,1380,8.6221,1431,18837,2185,9516,1104
03-06-2021,13.99,13.61,14.09,13.92,2558288412,1380,8.6387,1428,19306,2235,9753,1129
04-06-2021,14.04,13.86,14.09,13.99,1570382068,1380,8.6976,1433,19375,2228,9788,1125
07-06-2021,14.28,14.15,14.37,14.27,1352281873,1380,8.6356,1447,19706,2282,9956,1153
08-06-2021,14.48,14.18,14.5,14.33,1212467790,1380,8.6046,1448,19982,2322,10095,1173
09-06-2021,14.56,14.37,14.68,14.55,1774391312,1380,8.5904,1449,20093,2339,10151,1182
10-06-2021,14.43,14.39,14.65,14.5,1244631427,1380,8.5467,1457,19913,2330,10060,1177
